LotArea,OverallQual,OverallCond,TotalBsmtSF,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageArea,SalePrice,Categoria
8450,7,5,856,2,1,3,8,0,548,208500,2
9600,6,8,1262,2,0,3,6,1,460,181500,2
11250,7,5,920,2,1,3,6,1,608,223500,2
9550,7,5,756,1,0,3,7,1,642,140000,2
14260,8,5,1145,2,1,4,9,1,836,250000,3
14115,5,5,796,1,1,1,5,0,480,143000,2
10084,8,5,1686,2,0,3,7,1,636,307000,3
10382,7,6,1107,2,1,3,7,2,484,200000,2
6120,7,5,952,2,0,2,8,2,468,129900,2
7420,5,6,991,1,0,2,5,2,205,118000,2
11200,5,5,1040,1,0,3,5,0,384,129500,2
11924,9,5,1175,3,0,4,11,2,736,345000,3
12968,5,6,912,1,0,2,4,0,352,144000,2
10652,7,5,1494,2,0,3,7,1,840,279500,3
10920,6,5,1253,1,1,2,5,1,352,157000,2
6120,7,8,832,1,0,2,5,0,576,132000,2
11241,6,7,1004,1,0,2,5,1,480,149000,2
10791,4,5,0,2,0,2,6,0,516,90000,1
13695,5,5,1114,1,1,3,6,0,576,159000,2
7560,5,6,1029,1,0,3,6,0,294,139000,2
14215,8,5,1158,3,1,4,9,1,853,325300,3
7449,7,7,637,1,0,3,6,1,280,139400,2
9742,8,5,1777,2,0,3,7,1,534,230000,2
4224,5,7,1040,1,0,3,6,1,572,129900,2
8246,5,8,1060,1,0,3,6,1,270,154000,2
14230,8,5,1566,2,0,3,7,1,890,256300,3
7200,5,7,900,1,0,3,5,0,576,134800,2
11478,8,5,1704,2,0,3,7,1,772,306000,3
16321,5,6,1484,1,0,2,6,2,319,207500,2
6324,4,6,520,1,0,1,4,0,240,68500,1
8500,4,4,649,1,0,3,6,0,250,40000,1
8544,5,6,1228,1,1,3,6,0,271,149350,2
11049,8,5,1234,2,0,3,7,0,484,179900,2
10552,5,5,1398,1,1,4,6,1,447,165500,2
7313,9,5,1561,2,0,2,6,1,556,277500,3
13418,8,5,1117,3,1,4,9,1,691,309000,3
10859,5,5,1097,1,1,3,6,0,672,145000,2
8532,5,6,1297,1,0,3,5,1,498,153000,2
7922,5,7,1057,1,0,3,5,0,246,109000,1
6040,4,5,0,2,0,2,6,0,0,82000,1
8658,6,5,1088,2,0,3,6,1,440,160000,2
16905,5,6,1350,1,1,2,5,2,308,170000,2
9180,5,7,840,1,0,2,5,0,504,144000,2
9200,5,6,938,1,0,3,5,0,308,130250,2
7945,5,6,1150,1,0,3,6,0,300,141000,2
7658,9,5,1752,2,0,2,6,1,576,319900,3
12822,7,5,1434,1,1,1,6,1,670,239686,3
11096,8,5,1656,2,0,3,7,0,826,249700,3
4456,4,5,736,2,0,2,8,0,0,113000,1
7742,5,7,955,1,0,3,6,0,386,127000,2
13869,6,6,794,2,0,3,6,0,388,177000,2
6240,6,6,816,1,0,3,6,1,528,114500,1
8472,5,5,816,1,0,2,5,0,516,110000,1
50271,9,5,1842,0,1,0,5,1,894,385000,3
7134,5,5,384,1,0,3,6,1,572,130000,2
